报告日期,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
净利润(扣除非经常性损益后)(万元),31409700,22766900,14816400,8410900,31050200,25050800,16713300,8153500,29553900,23802400,15892300,7779500,28396300,22653800,15215300,7549700,--,22180200,14949500,7446600,27446700,22069200,14817600,7385800,27437500,21995600,14767600,7308300,26153700,20507800,13800300,--,23758200,--,12272000,--,20720800,--,10882600,0,16436900,--,8434400,--,12768300,0,6585600,--,11040500,0,6390600,--,8008200,--,4008600,--,4823900,0,0,--,0,--,0,--,--,--,--,--,0,
经营活动产生的现金流量净额(万元),155761600,202044200,187373300,194893700,69452100,137520700,100479800,104477400,72413300,88290200,18653200,6216000,77086400,71679600,34654200,10930600,--,28380300,29763200,19961400,113176400,75263000,108384900,51829500,20145700,7668900,41809100,24799100,-194700,6983100,14272400,32302100,53350800,88370400,82102500,39973200,34812300,17068100,23749100,33153200,27817600,62785600,48347700,28457800,40386200,34219600,-6726500,-13268100,37091300,8024300,19613200,10959400,29612900,43732100,31415900,10616900,39622100,0,32935500,36749400,14992200,12076400,16088400,21978400,2801100,6097400,--,--,0,
现金及现金等价物净增加额(万元),34070900,96525700,122679800,159125100,-5911000,92937900,73254900,79064400,-1080700,36419300,49300,-5756000,33096200,41025100,26832200,-4089700,--,-7828100,-10978100,406400,44703400,11977600,71722500,43785400,3686200,-13508300,24746500,21699400,-24424500,-19899000,-6995500,19340000,35333900,67195500,75903300,34956900,31933700,13689600,41182000,42961700,11957700,43848300,29529800,36562800,-19789700,-2092200,-19765800,-11603000,30560400,5488900,485000,-1914500,2632700,-7938700,-17736800,-26380700,21237000,0,17229600,12640500,12920600,-7460100,2899100,16834100,-158500,2641000,--,--,0,
总资产(万元),3334505800,3347185100,3311201000,3209447800,3010943600,3042638100,2999047600,2924657200,2769954000,2819813500,2730308000,2649378100,2608704300,2576479800,2551404600,2490493600,2413726500,2364647200,2352432700,2288332500,2220978000,2210491700,2241729500,2139663300,2060995300,2015095600,2030367700,1973468300,1891775200,1874254800,1872335300,1835727800,1754221700,1737115000,1707305000,1643119600,1547686800,1512700200,1489604800,1438999600,1345862200,1341788700,1296038100,1255338500,1178505300,1167013400,1143508600,1097896600,975765400,938434700,939996000,914138700,868428800,859775600,830398800,788080600,750911800,0,705547700,645723900,0,507287400,456017400,477677300,433898500,399784500,353986600,323873800,293678500,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,--,0,--,--,--,--,226924000,0,
总负债(万元),3043554300,3064977100,3036525400,2931418400,2741743300,2775575300,2756158100,2681761900,2535465700,2591727400,2511087900,2430887600,2394598700,2366365600,2348341200,2285996500,2215610200,2169247700,2165655000,2100924600,2040926100,2041426500,2080365800,1977537300,1907264900,1871858100,1894417400,1837176300,1763928900,1750715900,1754826000,1715946300,1641375800,1629587600,1605560200,1540825300,1451904500,1422513600,1403643300,1351777100,1263696500,1265838200,1225078100,1182918400,1110611900,1101922700,1081416600,1033838100,915051600,879852800,884561800,857045600,814003600,807171900,780067100,739085300,703768500,0,672516000,619625500,0,557736900,509565800,459476700,414605800,380918900,335839100,305484500,283992900,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,--,0,--,--,--,159066600,138178300,0,
股东权益不含少数股东权益(万元),289350200,280627900,273086600,276385300,267618600,265489600,241337600,241362700,233000100,226696300,217859900,217151000,212749100,208894600,201829500,203274800,196975100,194228700,185659300,186318000,178947400,168002800,160302500,161132800,153085900,142758100,135485700,135848500,127413400,123173900,117150700,119417500,112499700,107335000,101631800,102181500,95674200,90068200,85839100,87096800,82043000,75383200,70427900,71908900,67389300,64621000,61641600,63655200,60318300,58169900,55000700,56660800,53894700,52095800,49861800,48535200,46689600,0,32622500,25694700,0,-50816300,-53709900,17820800,19125300,18750600,18147500,18389300,9685600,
净资产收益率加权(%),11.95,8.74,5.85,3.36,13.05,10.73,7.21,3.59,13.79,11.36,7.67,3.85,14.35,11.65,7.85,3.95,--,12.4,8.42,4.28,17.1,13.95,9.43,4.84,19.96,16.14,10.89,5.57,21.92,17.25,11.63,5.93,23.02,18.18,12.16,6.2,23.44,18.8,25.12,6.36,22.79,17.77,11.95,5.97,20.14,15.76,10.4,5.67,19.39,16.34,11.39,5.99,16.15,12.79,8.41,--,15.16,0,9.04,--,0,--,0,--,--,--,--,--,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
